,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,MIS_Status,GrAppv,SBA_Appv,NAICS2,DiffJobs
299,Milton,VT,5468,BMO HARRIS BK NATL ASSOC,IL,441120,1998-03-26,1998-01-01,36,10,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,44,0
300,JACKSONVILLE,FL,28546,BANK OF AMERICA NATL ASSOC,FL,624310,1997-02-28,1997-01-01,73,214,1.0,0,0,0,0,N,N,P I F,1000000.0,750000.0,62,0
301,WILLIAMSTOWN,NJ,8094,"TD BANK, NATIONAL ASSOCIATION",VT,0,1997-02-28,1997-01-01,36,7,1.0,0,0,0,0,-,N,P I F,25000.0,20000.0,0,0
302,SOUTH PORTLAND,ME,4106,BANK OF AMERICA NATL ASSOC,ME,233320,1998-04-02,1998-01-01,42,2,0.0,0,0,0,0,Y,N,P I F,99000.0,49500.0,23,0
303,BRISTOL,RI,2809,CITIZENS BANK NATL ASSOC,RI,0,1998-04-03,1998-01-01,47,20,1.0,0,0,0,0,Y,N,P I F,25000.0,12500.0,0,0
304,RICHMOND,VA,23224,BANK OF AMERICA NATL ASSOC,VA,0,1997-02-28,1997-01-01,84,9,2.0,0,0,0,0,N,Y,P I F,100000.0,80000.0,0,0
305,Westwood,KS,2090,BANK OF AMERICA NATL ASSOC,NJ,0,1998-04-03,1998-01-01,12,2,0.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
306,NEW YORK,NY,10001,JPMORGAN CHASE BANK NATL ASSOC,NY,0,1998-04-07,1998-01-01,12,10,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
307,NEW YORK,NY,10014,JPMORGAN CHASE BANK NATL ASSOC,NY,512110,1997-02-28,1997-01-01,36,1,1.0,0,0,0,0,Y,N,P I F,35000.0,17500.0,51,0
308,Holbrook,NY,11741,CAPITAL ONE NATL ASSOC,NY,454312,1998-04-08,1998-01-01,60,4,1.0,0,0,0,0,-,N,P I F,23000.0,11500.0,45,0
309,EDINBURG,TX,78539,LONE STAR NATIONAL BANK,TX,0,1997-02-28,1997-01-01,12,17,1.0,0,0,0,0,N,Y,P I F,100000.0,80000.0,0,0
310,West Seneca,NY,14224,MANUFACTURERS & TRADERS TR CO,NY,421990,1998-04-10,1998-01-01,84,8,0.0,0,0,0,0,-,N,P I F,50000.0,25000.0,42,0
311,UNION GROVE,WI,53182,COMMUNITY STATE BANK,WI,421810,1997-02-28,1997-01-01,84,6,1.0,0,0,0,0,N,Y,P I F,100000.0,80000.0,42,0
312,West Seneca,NY,14224,MANUFACTURERS & TRADERS TR CO,NY,421990,1998-04-10,1998-01-01,60,8,0.0,0,0,0,0,-,N,P I F,15000.0,7500.0,42,0
313,Fulton,NY,13069,MANUFACTURERS & TRADERS TR CO,NY,0,1998-04-10,1998-01-01,60,1,0.0,0,0,0,0,-,N,P I F,28500.0,14250.0,0,0
314,Cape Elizabeth (Town of),ME,4107,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-04-13,1998-01-01,12,25,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
315,CRANSTON,RI,2910,CITIZENS BANK NATL ASSOC,RI,0,1998-04-15,1998-01-01,12,4,1.0,0,0,0,0,Y,N,P I F,75000.0,37500.0,0,0
316,CHESTERTOWN,NY,21620,"TD BANK, NATIONAL ASSOCIATION",MD,0,1997-02-28,1997-01-01,60,2,2.0,0,0,0,0,N,Y,P I F,35000.0,28000.0,0,0
317,Tuckahoe,NY,10707,"CITIBANK, N.A.",OH,0,1998-04-17,1998-01-01,60,3,0.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
318,Newburgh,NY,12550,KEYBANK NATIONAL ASSOCIATION,NY,235110,1998-04-17,1998-01-01,11,7,1.0,0,0,0,0,-,N,CHGOFF,45000.0,22500.0,23,0
319,JUNCTION CITY,KS,66441,INTRUST BANK NATL ASSOC,KS,541511,1997-02-28,1997-01-01,84,3,2.0,0,0,0,0,N,Y,P I F,35000.0,28000.0,54,0
320,Wilmington,NC,5361,CAPITAL ONE NATL ASSOC,VA,0,1998-04-17,1998-01-01,60,17,0.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
321,NEW YORK,NY,10044,JPMORGAN CHASE BANK NATL ASSOC,NY,0,1997-02-28,1997-01-01,48,1,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,0,0
322,Clyde,TX,14433,"FIRST BANK TEXAS, SSB",OH,0,1998-04-17,1998-01-01,60,10,0.0,0,0,0,0,-,N,P I F,50000.0,25000.0,0,0
323,WHITE PLAINS,NY,10603,JPMORGAN CHASE BANK NATL ASSOC,NY,0,1997-02-28,1997-01-01,36,1,1.0,0,0,0,0,Y,N,P I F,15000.0,7500.0,0,0
324,Cape Elizabeth (Town of),ME,4107,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-04-17,1998-01-01,48,25,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,0,0
325,PORTSMOUTH,NH,2871,CITIZENS BANK NATL ASSOC,NH,0,1997-02-28,1997-01-01,12,7,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,0,0
326,Pepperell,MA,1463,BANK OF AMERICA NATL ASSOC,RI,0,1998-04-28,1998-01-01,84,1,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,0,0
327,Boston,MA,2124,BANK OF AMERICA NATL ASSOC,MA,0,1998-04-30,1998-01-01,134,4,1.0,0,0,0,0,-,N,P I F,50000.0,25000.0,0,0
328,GOUVERNEUR,NY,13642,COMMUNITY BANK NATL ASSOC,NY,722320,2006-02-07,2006-01-01,84,7,2.0,0,0,0,2,N,N,P I F,47000.0,39950.0,72,0
329,Marcellus,NY,13108,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-05-01,1998-01-01,60,5,0.0,0,0,0,0,-,N,P I F,30000.0,15000.0,0,0
330,EDWARDS,CO,61528,U.S. BANK NATIONAL ASSOCIATION,CO,811310,2006-02-07,2006-01-01,240,4,1.0,2,2,0,2,-,N,P I F,161000.0,161000.0,81,0
331,LEWISTOWN,MT,83501,WELLS FARGO BANK NATL ASSOC,MT,811112,1997-02-28,1997-01-01,180,12,2.0,0,0,0,2,N,N,P I F,241000.0,180750.0,81,0
332,CONRAD,MT,59425,STOCKMAN BANK OF MONTANA,MT,722410,1997-02-28,1997-01-01,180,6,1.0,0,0,0,2,N,Y,P I F,85000.0,68000.0,72,0
333,South Burlington,VT,5403,PEOPLE'S UNITED BANK,CT,0,1998-05-06,1998-01-01,60,7,1.0,0,0,0,0,-,N,P I F,63000.0,31500.0,0,0
334,DALLAS,TX,75243,JPMORGAN CHASE BANK NATL ASSOC,TX,0,1997-02-28,1997-01-01,84,4,1.0,0,0,0,0,N,Y,P I F,40000.0,32000.0,0,0
335,Milton,VT,5468,BMO HARRIS BK NATL ASSOC,IL,321920,1998-05-08,1998-01-01,15,6,1.0,0,0,0,0,-,N,CHGOFF,25000.0,12500.0,32,0
336,Saratoga Springs,UT,12866,MOUNTAIN AMERICA FCU,UT,0,1998-05-08,1998-01-01,84,3,1.0,0,0,0,0,-,N,P I F,65000.0,32500.0,0,0
337,BOISE,ID,83703,WELLS FARGO BANK NATL ASSOC,ID,0,1997-02-28,1997-01-01,84,8,2.0,0,0,0,0,N,Y,P I F,52500.0,42000.0,0,0
338,Orchard Park,NY,14127,MANUFACTURERS & TRADERS TR CO,NY,624410,1998-05-08,1998-01-01,120,4,0.0,0,0,0,0,-,N,P I F,32000.0,16000.0,62,0
339,ROSWELL,GA,30075,BRANCH BK. & TR CO,GA,0,1997-02-28,1997-01-01,288,9,1.0,0,0,0,0,-,N,P I F,625000.0,468750.0,0,0
340,Sodus,NY,14551,KEYBANK NATIONAL ASSOCIATION,OH,112920,1998-05-13,1998-01-01,180,4,0.0,0,0,0,0,-,N,P I F,75000.0,37500.0,11,0
341,Worcester,MA,1603,"TD BANK, NATIONAL ASSOCIATION",DE,451211,1998-05-15,1998-01-01,79,2,1.0,0,0,0,0,-,N,P I F,10000.0,5000.0,45,0
342,IRVING,TX,75062,JPMORGAN CHASE BANK NATL ASSOC,TX,336212,1997-02-28,1997-01-01,84,2,1.0,0,0,0,0,-,N,P I F,250000.0,187500.0,33,0
343,COLUMBUS,OH,43223,JPMORGAN CHASE BANK NATL ASSOC,OH,422720,1997-02-28,1997-01-01,60,3,1.0,0,0,0,0,-,N,P I F,20000.0,10000.0,42,0
344,Watertown (Town of),MA,2172,BANK OF AMERICA NATL ASSOC,RI,0,1998-05-18,1998-01-01,12,3,1.0,0,0,0,2,-,N,P I F,10000.0,5000.0,0,0
345,ANAHEIM,CA,92805,WELLS FARGO BANK NATL ASSOC,CA,561730,2006-02-07,2006-01-01,240,45,1.0,20,0,0,1,-,N,P I F,401000.0,401000.0,56,-20
346,LINCOLN PARK,MI,7035,CITIZENS BANK NATL ASSOC,RI,235410,1997-02-28,1997-01-01,53,2,2.0,0,0,1,0,-,N,CHGOFF,50100.0,40080.0,23,0
347,Bethlehem,PA,18018,MANUFACTURERS & TRADERS TR CO,PA,0,1998-05-19,1998-01-01,39,4,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,0,0
348,Albany,NY,12203,KEYBANK NATIONAL ASSOCIATION,NY,541110,1998-05-20,1998-01-01,60,1,1.0,0,0,0,0,-,N,P I F,15000.0,7500.0,54,0
349,ELLICOTT CITY,MD,21043,MANUFACTURERS & TRADERS TR CO,MD,0,1997-02-28,1997-01-01,6,6,1.0,0,0,0,0,Y,N,P I F,550000.0,495000.0,0,0
350,Barrington,IL,2806,BARRINGTON BK & TR COMPANY NAT,IL,235910,1998-05-20,1998-01-01,12,20,1.0,0,0,0,0,-,N,P I F,100000.0,50000.0,23,0
351,BATTLE MOUNTAIN,NV,89820,BANK OF AMERICA NATL ASSOC,NV,713950,1997-02-28,1997-01-01,255,14,2.0,0,0,0,0,N,N,CHGOFF,665000.0,498750.0,71,0
352,West Sand Lake,NY,12196,KEYBANK NATIONAL ASSOCIATION,OH,445310,1998-05-21,1998-01-01,60,4,0.0,0,0,0,0,-,N,P I F,45000.0,22500.0,44,0
353,Amherst,NY,3031,MANUFACTURERS & TRADERS TR CO,OH,333314,1998-05-26,1998-01-01,60,18,1.0,0,0,0,0,N,N,P I F,100000.0,50000.0,33,0
354,ROCK HILL,SC,29732,BANK OF AMERICA NATL ASSOC,SC,811111,2006-02-07,2006-01-01,55,1,2.0,0,0,1,1,N,N,CHGOFF,149000.0,126650.0,81,0
355,Bethlehem,PA,18018,MANUFACTURERS & TRADERS TR CO,PA,0,1998-05-26,1998-01-01,12,4,1.0,0,0,0,0,Y,N,P I F,100000.0,50000.0,0,0
356,South China,ME,4358,KEYBANK NATIONAL ASSOCIATION,OH,448120,1998-05-27,1998-01-01,60,2,1.0,0,0,0,0,N,N,P I F,30000.0,15000.0,44,0
357,Nashua,NH,3060,"TD BANK, NATIONAL ASSOCIATION",DE,0,1998-05-28,1998-01-01,60,1,2.0,0,0,0,0,N,N,P I F,20000.0,10000.0,0,0
358,Weymouth (Town of),MA,2188,BANK OF AMERICA NATL ASSOC,RI,0,1998-05-29,1998-01-01,12,1,2.0,0,0,0,0,Y,N,P I F,40000.0,20000.0,0,0
359,South China,ME,4358,KEYBANK NATIONAL ASSOCIATION,OH,448120,1998-06-01,1998-01-01,60,2,2.0,0,0,0,0,Y,N,P I F,20000.0,10000.0,44,0
360,Niskayuna (Town of),NY,12309,KEYBANK NATIONAL ASSOCIATION,OH,235410,1998-06-01,1998-01-01,12,1,1.0,0,0,0,0,Y,N,P I F,30000.0,15000.0,23,0
361,Arlington (Town of),MA,2174,BANK OF AMERICA NATL ASSOC,NC,451140,1998-06-02,1998-01-01,133,10,1.0,0,0,0,0,-,N,P I F,25000.0,12500.0,45,0
362,Clifton Park,NY,12065,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-06-04,1998-01-01,12,9,1.0,0,0,0,0,Y,N,P I F,100000.0,50000.0,0,0
363,Boston,MA,2136,BANK OF AMERICA NATL ASSOC,MA,233320,1998-06-05,1998-01-01,12,3,2.0,0,0,0,0,Y,N,P I F,30000.0,15000.0,23,0
364,ORLANDO,FL,32822,BANK OF AMERICA NATL ASSOC,FL,811121,2006-02-07,2006-01-01,95,1,2.0,0,1,0,1,-,N,CHGOFF,105000.0,89250.0,81,1
365,North Branch,MN,12766,ASSOCIATED BANK NATL ASSOC,WI,454311,1998-06-12,1998-01-01,35,2,2.0,0,0,0,0,N,N,CHGOFF,23000.0,11500.0,45,0
366,TRAVERSE CITY,MI,49684,THE HUNTINGTON NATIONAL BANK,MI,541512,2006-02-07,2006-01-01,12,10,1.0,0,0,0,1,Y,N,P I F,1000000.0,750000.0,54,0
367,Cheektowaga (Town of),NY,14223,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-06-12,1998-01-01,60,1,2.0,0,0,0,0,Y,N,P I F,37000.0,18500.0,0,0
368,Buffalo,NY,14211,MANUFACTURERS & TRADERS TR CO,NY,541213,1998-06-15,1998-01-01,60,1,2.0,0,0,0,0,Y,N,P I F,10000.0,5000.0,54,0
369,Buffalo,NY,14211,MANUFACTURERS & TRADERS TR CO,NY,541213,1998-06-15,1998-01-01,84,1,2.0,0,0,0,0,N,N,P I F,10000.0,5000.0,54,0
370,Orchard Park,NY,14127,MANUFACTURERS & TRADERS TR CO,NY,561730,1998-06-17,1998-01-01,84,4,1.0,0,0,0,0,N,N,P I F,23000.0,11500.0,56,0
371,Chicopee,MA,1020,"TD BANK, NATIONAL ASSOCIATION",DE,0,1998-06-18,1998-01-01,12,15,1.0,0,0,0,0,Y,N,P I F,100000.0,50000.0,0,0
372,Boston,MA,2111,BANK OF AMERICA NATL ASSOC,MA,0,1998-06-19,1998-01-01,59,1,1.0,0,0,0,0,Y,N,P I F,25000.0,12500.0,0,0
373,MUSKEGON,MI,49444,MICHIGAN COMMERCE BANK,MI,621111,2006-02-07,2006-01-01,5,4,1.0,2,4,0,1,Y,N,CHGOFF,25000.0,12500.0,62,2
374,Mexico,MO,13114,COMMERCE BANK,MO,444130,1998-06-23,1998-01-01,62,9,2.0,0,0,0,0,Y,N,P I F,25000.0,12500.0,44,0
375,OCEAN CITY,NJ,21842,"PNC BANK, NATIONAL ASSOCIATION",DE,451110,2006-02-07,2006-01-01,57,5,1.0,4,5,0,1,-,N,CHGOFF,30000.0,15000.0,45,1
376,Atkinson,NH,3811,BANK OF AMERICA NATL ASSOC,RI,0,1998-06-23,1998-01-01,57,2,2.0,0,0,0,0,Y,N,P I F,35000.0,17500.0,0,0
377,DECATUR,GA,35601,BANK OF AMERICA NATL ASSOC,AL,713940,2006-02-07,2006-01-01,12,3,2.0,3,0,0,1,Y,N,P I F,60800.0,30400.0,71,-3
378,South Portland,ME,4106,"TD BANK, NATIONAL ASSOCIATION",DE,624410,1998-06-24,1998-01-01,120,9,1.0,0,0,0,0,N,N,P I F,65000.0,32500.0,62,0
379,BELGRADE,MT,59714,FLATHEAD BANK OF BIGFORK,MT,333131,2006-02-07,2006-01-01,12,28,1.0,0,0,0,2,Y,N,P I F,333330.0,299997.0,33,0
380,Boothbay Harbor,ME,4538,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-06-25,1998-01-01,12,1,2.0,0,0,0,0,Y,N,P I F,15000.0,7500.0,0,0
381,LACEY,WA,98513,BANK OF AMERICA NATL ASSOC,WA,541940,1998-06-25,1998-01-01,72,2,2.0,0,0,0,0,N,N,P I F,100000.0,50000.0,54,0
382,Rockland,ME,14841,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-06-29,1998-01-01,13,2,1.0,0,0,0,0,Y,N,CHGOFF,85000.0,42500.0,0,0
383,Brocton,NY,14716,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-06-29,1998-01-01,84,1,1.0,0,0,0,0,N,N,P I F,40000.0,20000.0,0,0
384,ALBANY,NY,12205,BANK OF AMERICA NATL ASSOC,NY,0,1998-06-29,1998-01-01,84,10,2.0,0,0,1,0,N,N,P I F,100000.0,50000.0,0,0
385,RIDGELAND,MS,39157,TRUSTMARK NATIONAL BANK,MS,541613,2006-02-07,2006-01-01,68,1,2.0,1,1,0,1,-,N,CHGOFF,5000.0,4250.0,54,0
386,Rochester,NY,14626,MANUFACTURERS & TRADERS TR CO,NY,0,1998-06-29,1998-01-01,36,23,2.0,0,0,0,0,N,N,P I F,25000.0,12500.0,0,0
387,BOSTON,MA,2111,CITIZENS BANK NATL ASSOC,RI,722110,2006-02-07,2006-01-01,84,11,2.0,0,0,0,1,N,N,P I F,450000.0,337500.0,72,0
388,Hudson,WI,12534,ASSOCIATED BANK NATL ASSOC,WI,454311,1998-06-29,1998-01-01,60,7,1.0,0,0,0,0,Y,N,P I F,100000.0,50000.0,45,0
389,Hudson,WI,12534,ASSOCIATED BANK NATL ASSOC,WI,454311,1998-06-30,1998-01-01,60,7,1.0,0,0,0,0,N,N,P I F,60000.0,30000.0,45,0
390,Brocton,NY,14716,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-06-30,1998-01-01,60,1,1.0,0,0,0,0,Y,N,P I F,10000.0,5000.0,0,0
391,Fairbanks,AK,99709,KEYBANK NATIONAL ASSOCIATION,OH,235210,1998-06-30,1998-01-01,6,10,1.0,0,0,0,0,Y,N,P I F,66500.0,33250.0,23,0
392,Spencerport,NY,14559,MANUFACTURERS & TRADERS TR CO,NY,0,1998-07-02,1998-01-01,60,3,2.0,0,0,0,0,N,N,P I F,25000.0,12500.0,0,0
393,PORTLAND,OR,4102,U.S. BANK NATIONAL ASSOCIATION,OR,0,1998-07-07,1998-01-01,48,2,2.0,0,0,0,0,N,N,P I F,48000.0,24000.0,0,0
394,PLEASANT GROVE,UT,84062,ZIONS FIRST NATIONAL BANK,UT,531390,2006-02-07,2006-01-01,54,5,1.0,5,5,0,2,Y,N,CHGOFF,30000.0,15000.0,53,0
395,LAS VEGAS,NV,89147,BANK OF AMERICA NATL ASSOC,NV,541350,2006-02-07,2006-01-01,84,1,1.0,0,1,0,2,Y,N,P I F,10000.0,5000.0,54,1
396,CICERO,NY,13039,CITIZENS BANK NATL ASSOC,NY,0,1998-07-17,1998-01-01,84,6,1.0,0,0,0,0,N,N,P I F,25000.0,12500.0,0,0
397,East Merrimack,NH,3054,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-07-17,1998-01-01,12,5,1.0,0,0,0,0,Y,N,P I F,100000.0,50000.0,0,0
398,ALLENTOWN,PA,18104,"PNC BANK, NATIONAL ASSOCIATION",PA,524210,2006-02-07,2006-01-01,120,3,1.0,3,3,0,2,-,N,P I F,578500.0,433875.0,52,0
399,HUGHSON,CA,95326,SUCCESS CAP. EXPANSION & DEVEL,CA,722211,2006-02-07,2006-01-01,123,1,2.0,5,6,1,1,-,N,P I F,177000.0,132750.0,72,1
400,Buffalo,NY,14211,MANUFACTURERS & TRADERS TR CO,NY,444130,1998-07-17,1998-01-01,60,5,2.0,0,0,1,0,N,N,P I F,20000.0,10000.0,44,0
401,CLEVELAND,OH,64734,CITIZENS BANK NATL ASSOC,OH,238990,2006-02-07,2006-01-01,73,6,1.0,0,6,0,1,-,N,P I F,25000.0,12500.0,23,6
402,ORCHARD PARK,NY,14127,MANUFACTURERS & TRADERS TR CO,NY,0,1998-07-17,1998-01-01,82,6,2.0,0,0,0,0,Y,N,P I F,250000.0,125000.0,0,0
403,LYNBROOK,NY,11563,BANK OF AMERICA NATL ASSOC,NY,722110,2006-02-07,2006-01-01,60,3,2.0,4,3,0,1,-,N,CHGOFF,5000.0,4250.0,72,-1
404,Boston,MA,2124,BANK OF AMERICA NATL ASSOC,MA,0,1998-07-17,1998-01-01,12,5,1.0,0,0,0,0,Y,N,P I F,60000.0,30000.0,0,0
405,East Merrimack,NH,3054,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-09-10,1998-01-01,12,5,1.0,0,0,0,0,Y,N,P I F,100000.0,50000.0,0,0
406,MOUNTVILLE,PA,17554,"COMMERCE BANK, A DIVISION OF",PA,0,1980-06-27,1980-01-01,120,57,2.0,0,0,0,0,N,N,CHGOFF,600000.0,499998.0,0,0
407,KENNEBUNK (CENSUS NAME FO,ME,4043,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-08-18,1998-01-01,48,3,1.0,0,0,0,0,N,N,P I F,80000.0,40000.0,0,0
408,Cobleskill,NY,12043,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-09-11,1998-01-01,60,5,2.0,0,0,0,0,Y,N,P I F,100000.0,50000.0,0,0
409,BUFFALO,NY,14213,MANUFACTURERS & TRADERS TR CO,NY,0,1998-08-03,1998-01-01,84,3,2.0,0,0,0,0,Y,N,P I F,76500.0,38250.0,0,0
410,SLIDELL,LA,70458,JPMORGAN CHASE BANK NATL ASSOC,LA,722110,2006-02-07,2006-01-01,60,40,2.0,40,0,0,0,-,N,P I F,120000.0,102000.0,72,-40
411,Albany,NY,12208,KEYBANK NATIONAL ASSOCIATION,NY,0,1998-08-07,1998-01-01,144,2,2.0,0,0,1,0,N,N,P I F,95000.0,47500.0,0,0
412,SEATTLE,WA,98168,BANK OF AMERICA NATL ASSOC,WA,811121,2006-02-07,2006-01-01,84,4,1.0,0,4,0,2,Y,N,P I F,25000.0,12500.0,81,4
413,OAKLAND,CA,94601,WELLS FARGO BANK NATL ASSOC,CA,445110,2006-02-07,2006-01-01,83,6,1.0,0,6,0,1,Y,N,P I F,30000.0,15000.0,44,6
414,Portland,OR,1041,KEYBANK NATIONAL ASSOCIATION,OR,0,1998-08-18,1998-01-01,84,3,1.0,0,0,0,0,Y,N,P I F,50000.0,25000.0,0,0
415,Scotia,NY,12302,CAPITAL ONE NATL ASSOC,NY,621310,1998-08-25,1998-01-01,60,5,2.0,0,0,0,0,Y,N,P I F,50000.0,25000.0,62,0
416,ST. JOHN,IN,58369,CITIZENS COMMUNITY CU,ND,113310,2006-02-07,2006-01-01,46,11,1.0,1,12,0,2,-,N,CHGOFF,53000.0,26500.0,11,11
417,Fairport,NY,14450,MANUFACTURERS & TRADERS TR CO,NY,0,1998-08-26,1998-01-01,18,1,1.0,0,0,0,0,N,N,CHGOFF,25000.0,12500.0,0,0
418,SAFETY HARBOR,FL,34695,BANK OF AMERICA NATL ASSOC,NC,812112,2006-02-07,2006-01-01,120,4,1.0,4,0,0,2,-,N,P I F,104000.0,88400.0,81,-4
419,NORCROSS,GA,30093,BANK OF AMERICA NATL ASSOC,GA,811192,2006-02-07,2006-01-01,240,1,1.0,4,0,0,1,-,N,P I F,1197000.0,1197000.0,81,-4
420,Amherst,NY,3031,MANUFACTURERS & TRADERS TR CO,OH,0,1998-08-27,1998-01-01,60,1,2.0,0,0,0,0,N,N,P I F,50000.0,25000.0,0,0
421,Dedham (Town of),MA,2026,BANK OF AMERICA NATL ASSOC,RI,0,1998-08-27,1998-01-01,12,3,1.0,0,0,1,0,Y,N,P I F,50000.0,25000.0,0,0
422,MANCHESTER,NH,6040,CITIZENS BANK NATL ASSOC,NH,541519,2006-02-07,2006-01-01,84,3,1.0,5,3,0,1,N,N,P I F,300000.0,150000.0,54,-2
423,Bridgton (census name for Brid,ME,4009,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-08-27,1998-01-01,60,1,1.0,0,0,0,0,Y,N,P I F,15000.0,7500.0,0,0
424,Boston,MA,2134,BANK OF AMERICA NATL ASSOC,MA,0,1998-09-02,1998-01-01,12,5,1.0,0,0,0,0,Y,N,P I F,100000.0,15000.0,0,0
425,Rochester,NY,14621,MANUFACTURERS & TRADERS TR CO,NY,337110,1998-09-15,1998-01-01,60,3,1.0,0,0,0,0,Y,N,P I F,100000.0,50000.0,33,0
426,OCEAN CITY,NJ,21842,"PNC BANK, NATIONAL ASSOCIATION",DE,451110,2006-02-07,2006-01-01,57,5,1.0,4,5,0,1,-,N,CHGOFF,20000.0,10000.0,45,1
427,East Syracuse,NY,13057,MANUFACTURERS & TRADERS TR CO,NY,0,1998-09-15,1998-01-01,84,3,2.0,0,0,0,0,N,N,P I F,100000.0,50000.0,0,0
428,SAN DIEGO,CA,92117,CDC SMALL BUS. FINAN CORP,CA,488510,2006-02-07,2006-01-01,240,5,1.0,3,5,0,1,-,N,P I F,240000.0,240000.0,48,2
429,Watertown,NY,13601,MANUFACTURERS & TRADERS TR CO,NY,454210,1998-09-15,1998-01-01,60,10,1.0,0,0,0,0,N,N,P I F,70000.0,35000.0,45,0
430,East Syracuse,NY,13057,MANUFACTURERS & TRADERS TR CO,NY,0,1998-09-18,1998-01-01,60,3,2.0,0,0,0,0,Y,N,P I F,20000.0,10000.0,0,0
431,CARBONDALE,IL,81623,ALPINE BANK,IL,339999,2006-02-07,2006-01-01,46,1,1.0,0,1,0,2,Y,N,CHGOFF,15000.0,7500.0,33,1
432,Amherst,NY,3031,MANUFACTURERS & TRADERS TR CO,OH,0,1998-09-18,1998-01-01,60,4,2.0,0,0,0,0,N,N,P I F,100000.0,50000.0,0,0
433,Litchfield,OH,3052,"PNC BANK, NATIONAL ASSOCIATION",OH,0,1998-09-21,1998-01-01,84,2,2.0,0,0,0,0,N,N,P I F,50000.0,25000.0,0,0
434,Jamestown,NY,14701,CAPITAL ONE NATL ASSOC,OH,446110,1998-09-25,1998-01-01,84,11,1.0,0,0,0,0,N,N,P I F,95000.0,47500.0,44,0
435,GORHAM (CENSUS NAME FOR G,ME,4038,KEYBANK NATIONAL ASSOCIATION,OH,336991,1998-09-30,1998-01-01,66,1,2.0,0,0,0,0,N,N,P I F,25000.0,12500.0,33,0
436,HOUSTON,TX,77027,JPMORGAN CHASE BANK NATL ASSOC,TX,522310,2006-02-07,2006-01-01,36,4,1.0,0,4,0,1,Y,N,CHGOFF,25000.0,12500.0,52,4
437,BRADFORD,PA,2808,"PNC BANK, NATIONAL ASSOCIATION",DE,484110,2006-02-07,2006-01-01,36,1,2.0,0,1,0,2,Y,N,P I F,30000.0,15000.0,48,1
438,Skowhegan (census name for Sko,ME,4976,KEYBANK NATIONAL ASSOCIATION,OH,444130,1998-10-27,1999-01-01,12,7,2.0,0,0,0,0,Y,N,P I F,50000.0,25000.0,44,0
439,CALDWELL,ID,83605,ZIONS FIRST NATIONAL BANK,ID,238110,2006-02-07,2006-01-01,14,4,1.0,3,7,0,2,-,N,P I F,75000.0,37500.0,23,4
440,Caribou,ME,4736,KEYBANK NATIONAL ASSOCIATION,DE,713940,1998-11-04,1999-01-01,32,5,1.0,0,0,0,0,N,N,CHGOFF,32500.0,16250.0,71,0
441,HOPKINS,MN,55343,U.S. BANK NATIONAL ASSOCIATION,MN,488999,2006-02-07,2006-01-01,80,4,1.0,0,4,1,1,Y,N,P I F,30000.0,15000.0,48,4
442,BURLINGTON,VT,5401,MERCHANTS BANK,VT,448310,1998-11-09,1999-01-01,84,4,1.0,0,0,0,0,N,N,P I F,63000.0,31500.0,44,0
443,OCEANSIDE,CA,92054,BANK OF AMERICA NATL ASSOC,CA,518210,2006-02-07,2006-01-01,84,5,1.0,1,5,0,1,Y,N,P I F,30000.0,15000.0,51,4
444,Seattle,WA,98101,KEYBANK NATIONAL ASSOCIATION,OH,0,1998-11-09,1999-01-01,83,2,2.0,0,0,0,0,Y,N,P I F,20000.0,10000.0,0,0
445,BURLINGTON,VT,5401,MERCHANTS BANK,VT,448310,1998-11-10,1999-01-01,60,4,1.0,0,0,0,0,Y,N,P I F,40000.0,20000.0,44,0
446,OCEANSIDE,CA,92054,BANK OF AMERICA NATL ASSOC,CA,518210,2006-02-07,2006-01-01,60,5,1.0,1,5,0,1,-,N,P I F,55000.0,27500.0,51,4
